Description,Category
UPI/TRANSFER/PAYTM/9543216780,Other
AMZN MKTPLACE ORDER 459231,Shopping
ZOMATO LTD 25109,Food
SWIGGY ORDER 66729,Food
IRCTC BOOKING 1452092,Transport
UBER INDIA OLA209,Transport
OLA CABS RIDE/9448/MUM,Transport
BESCOM ELECTRIC BILL 112293,Bills
VODAFONE IDEA BILL 982122,Bills
NETFLIX.COM IN,Entertainment
SPOTIFY INDIA 808322,Entertainment
BIGBASKET BANGALORE 5682,Groceries
BLINKIT DELHI 6938,Groceries
MEDPLUS PHARMA 4821,Health
SALARY CREDIT SBI,Income
UPI/HDFC/ANAMIKA34@upi,Other
PAYTM WALLET LOAD 215388,Other
FOODPANDA MUMBAI 3021,Food
HOTSTAR DIGITAL SUB,Entertainment
JIO POSTPAID BILL 894310,Bills
FLIPKART INTERNET 434448,Shopping
RELIANCE FRESH HYD,Groceries
BIGBASKET GROCERY 93824,Groceries
ZOMATO ORDER #B17123,Food
UPI/SBI/8639752103@upi,Other
BOOKMYSHOW MOVIE 34231,Entertainment
RELIANCE SMART PUNE 98810,Groceries
SWIGGY MEAL 9341,Food
OLACABS/BOOK/DELHI,Transport
BSES RAJDHANI PWR BILL,Bills
PHARMEASY MEDS 58763,Health
SALARY CREDIT ICICI,Income
YOUTUBE PREMIUM FAMILY,Entertainment
PAYTM PAYMENTS BANK 77602,Other
TATASKY RECHARGE 34321,Bills
METRO CASH N CARRY MUM,Groceries
BIGBASKET BBDAILY 19844,Groceries
STARBUCKS INDIA BLR,Food
MCDONALDS INDIA KNDLR,Food
RELIANCE TRENDS 35832,Shopping
CROMA RETAIL 448210,Shopping
FLIPKART JBL EARPHONES,Shopping
TATA CLIQ CHN 90122,Shopping
IRCTC ECASH 10998,Transport
LAKME SALON 45421,Other
BSES YAMUNA ELECT BILL,Bills
BOOKMYSHOW TKT 523497,Entertainment
UPI/AMAZONPAY/S123@apl,Other
APOLLO PHARMACY 29320,Health
SPAR HYPERMARKET 68439,Groceries
GOOGLE PLAY MOVIES 9082,Entertainment
GRABON FOOD DEAL 99821,Food
FOODHALL MUMBAI 4422,Groceries
MYNTRA ORDER 94410,Shopping
TITAN E-STORE APX 5821,Shopping
TATA SKY TV BILL PAY,Bills
BILLDESK HP GAS BILL 12312,Bills
PAYTM MALL BLR 34129,Shopping
SIEMENS HEALTHCARE 55481,Health
SWIGGY FOODCARD 22198,Food
ZOMATO PAYMENT 9432,Food
MOTHERDAIRY DELHI 21232,Groceries
ICICI BANK CARD BILL,Bills
APOLLO 247 ONLINE 98923,Health
UPI/AXIS/DHANANJAY@upi,Other
DELHIVERY COURIER 44821,Other
SUBWAY FOOD HUB,Food
UPI/BHIM/8947321002@upi,Other
TWITTER BLUE SUB IND,Entertainment
YATRA.COM BOOK 43892,Transport
MUMBAI METRO CARD 11239,Transport
FBB FASHION MALL 77231,Shopping
SHOPPERS STOP BLR,Shopping
KFC INDIA ORDER 6592,Food
FOREST ESSENTIALS 90212,Shopping
GOOGLE DRIVE INR,Entertainment
TATA 1MG DELHI,Health
SPENCERS RETAIL CHENNAI 4251,Groceries
IRCTC BOOKING 55491,Transport
UBER INDIA DL 8942,Transport
ZEE5 SUBSCRIPTION RENEW,Entertainment
PAYTM RECHARGE VODA,Bills
OLIVIA HOSPITAL CHENNAI,Health
DECATHLON MUMBAI 99137,Shopping
BIG BAZAAR RETAIL 9923,Groceries
CRED APP BILL/BSES 85933,Bills
SWIGGY MEMBERSHIP 8941,Food
FRESH TO HOME KOCHI,Groceries
STAR BAZAAR HYDERABAD,Groceries
WESTSIDE RETAIL 22318,Shopping
BPCL PETROL PUMP SRT 3591,Transport
MOBILE POSTPAID BILL ICICI,Bills
FLIPKART SMARTBUY 88239,Shopping
HUDA BEAUTY DELHI,Shopping
RELIANCE DIGITAL 332198,Shopping
MACCOSMETICS.INSTORE,Shopping
SWIGGY WALLET ADD 32488,Food
ZOMATO PRO MEMBERSHIP,Food
BAJAJ FINANCE EMI 44512,Bills
MCDONALDS PUNE 99421,Food
BIGBASKET EXPRESS 11237,Groceries
AMAZON FRESH PUNE,Groceries
GROFERS CHENNAI 71282,Groceries
TATASKY RECHARGE 49599,Entertainment
APOLLO CLINIC MUM 90061,Health
SALARY CREDIT KOTAK,Income
HAVELLS ONLINE 9244,Shopping
AMAZON KINDLE PLAN,Entertainment
BARISTA CAFE DELHI 3920,Food
SAMSUNG ESTORE 19222,Shopping
UPI/PNB/NAVIN44@pnb,Other
MMT OYO BOOKING 8031,Transport
OLA CABS CHENNAI 82101,Transport
ZOMATO MONEY ADD 94812,Food
BLINKIT CHN 24378,Groceries
URBAN COMPANY CLEANERS,Other
VIDEOCON D2H 331102,Bills
VODAFONE IDEA LTD BILL 91021,Bills
SHEMAROOME OTT INDIA,Entertainment
TATA NEU GROCERY,Groceries
SWIGGY TABLEBOOK 8491,Food
PURPLLE SHOP 29323,Shopping
DUNZO DELIVERY BLR,Other
HIMALAYA PHARMACY 18820,Health
MYNTRA FASHION 244472,Shopping
RELIANCE DIGITAL KOL,Shopping
CRED CREDIT CARD PAY NOC,Bills
RAZORPAY BILL 94328,Other
NIKE STORE DELHI 3492,Shopping
APPLE.COM BILLING INDIA,Entertainment
SKINSTREET SALON GGN,Other
MAX HOSPITAL NEWDELHI,Health
GROCERYWAGON HYD 70812,Groceries
SAMSUNG STORE BLR,Shopping
GOOGLE YT MUSIC,Entertainment
AMAZON PANTRY ONLINE,Groceries
AMAZON PAY BALANCE 93129,Other
BSES DELHI BILLDO 94832,Bills
SWIGGY REFUND 11480,Food
IRCTC TATKAL 118211,Transport
FOREVER 21 BLR,Shopping
BHARAT GAS CYLINDER RECH,Bills
PAYTM UPI TRANS 483728,Other
MANKIND PHARMA MUM,Health
SPECTRA INTERNET BILL,Bills
BLINKIT EXPRESS DEL 30984,Groceries
PIZZAHUT DELHI 99313,Food
MUMBAI METRO CARD LOAD,Transport
ZOMATO ORDER 84319,Food
ICICI PRU LIFE BILL,Bills
WELLNESS FOREVER 29388,Health
H&M INDIA MALL,Shopping
NATURAL ICECREAM DELHI,Food
RED BUS BOOKING 23993,Transport
KENT RO SERVICE BILL,Bills
ZEZAS KITCHEN ORDER,Food
SAHARA GROCERS SURAT 1938,Groceries
K KIRANA GROCERY STORE,Groceries
SPOTIFY IND SUBSHARE,Entertainment
EUREKA FORBES PAYMENT,Bills
DR LAL PATHLABS 88573,Health
ADITYA BIRLA INSURANCE ICICI,Bills
TATASKY OTT INVOICE,Entertainment
AMAZON PRIME VIDEO PLAN,Entertainment
MAKEMYTRIP HOTEL PREPAID,Transport
APOLLO PHARMACY ONLINE 8081,Health
FLIPKART MOBILE 42318,Shopping
BESCOM POWER BILL 58298,Bills
PEPPERFRY DOTCOM 9082,Shopping
JIOFIBER BILL 112291,Bills
PVR CINEMAS NCR 56482,Entertainment
FAASOS MUMBAI 93833,Food
CRED EMI BILL 83902,Bills
AMAZON PHONE RECHARGE,Shopping
UPI/AXIS/7498274464@upi,Other
FIREFLY PAYROLL,Income
JIO RECHARGE 974302,Bills
MOJO PIZZA SOUTH,Food
NUTRILITE INDIA ONLINE,Health
GLOCAL GROCERY SHOP 3842,Groceries
YATRA TICKET 24376,Transport
URBAN COMPANY BEAUTY CHD,Other
PHARMA ZONE APP HYD,Health
BHIMUPI/1429GAURAV@upi,Other
BARBEQUE NATION CHENNAI,Food
